Type, Threads, Time, Evaluations
no-dis, 6, 33.063389, 239057
no-dis, 8, 15.208282, 143477
no-dis, 6, 20.103037, 191574
no-dis, 4, 54.456638, 290971
no-dis, 2, 102.045636, 376551
no-dis, 8, 20.342382, 201740
no-dis, 6, 22.61221, 155300
no-dis, 4, 50.93877, 235137
no-dis, 4, 40.652022, 181455
no-dis, 6, 18.982432, 137209
no-dis, 4, 23.49712, 126871
no-dis, 6, 27.351574, 199624
no-dis, 4, 43.659067, 309479
no-dis, 6, 22.555569, 151394
no-dis, 6, 20.87842, 150009
no-dis, 4, 75.679666, 354661
no-dis, 8, 18.765412, 184303
no-dis, 8, 17.852294, 168892
no-dis, 2, 379.582246, 1394031
no-dis, 6, 18.715389, 150523
no-dis, 8, 15.574621, 156671
no-dis, 4, 89.78838, 407215
no-dis, 2, 441.333422, 1610398
no-dis, 6, 20.594275, 193790
no-dis, 4, 47.202594, 213334
no-dis, 8, 23.084665, 206289
no-dis, 4, 51.051034, 228580
no-dis, 6, 37.778574, 270949
no-dis, 2, 542.384079, 1937177
no-dis, 8, 14.943774, 139638
no-dis, 4, 38.604308, 181974
no-dis, 8, 23.233705, 194963
no-dis, 2, 289.317194, 1057677
no-dis, 4, 39.300099, 189231
no-dis, 2, 787.956541, 2867427
no-dis, 8, 17.168865, 151648
no-dis, 2, 274.243806, 996450
no-dis, 4, 89.966671, 423382
no-dis, 4, 36.41012, 190958
no-dis, 6, 23.71702, 174925
no-dis, 2, 322.52004, 1232272
no-dis, 4, 58.316682, 267111
no-dis, 2, 270.739796, 966785
no-dis, 8, 21.688001, 188877
no-dis, 8, 16.813165, 173205
no-dis, 6, 19.177537, 153902
no-dis, 2, 366.307848, 1387976
no-dis, 6, 18.158008, 168042
no-dis, 8, 15.286006, 130139
